sie	ɕ ɛ
wyslac	v ɘ s l a t͡s
wystraszył	v ɘ s t r a ʂ ɘ w
wystrzeliła	v ɘ s t ʂ ɛ l i w a
wysypisku	v ɘ s ɘ p i s k u
wytrzymania	v ɘ t ʂ ɘ m a ɲ a
wzornictwa	v z ɔ r ɲ i t͡s t f a
zaakceptuj	z a a k t͡s ɛ p t u j
zabezpieczył	z a b ɛ s p j ɛ t͡ʂ ɘ w
zaburza	z a b u ʐ a
zabytkowej	z a b ɘ t k ɔ v ɛ j
zachowajmy	z a x ɔ v a j m ɘ
zadzieraj	z a d͡ʑ ɛ r a j
zadzwonisz	z a d͡z v ɔ ɲ i ʂ
zaglądał	z a ɡ l ɔ n d a w
zajecia	z a j ɛ t͡ɕ a
zakocha	z a k ɔ x a
zakrywa	z a k r ɘ v a
zakupiona	z a k u p j ɔ n a
zakładami	z a k w a d a m i
zapragnie	z a p r a ɡ ɲ ɛ
zaproszę	z a p r ɔ ʂ ɛ
zaraziła	z a r a ʑ i w a
zarzucenia	z a ʐ u t͡s ɛ ɲ a
zastanowił	z a s t a n ɔ v i w
zasłoną	z a s w ɔ n ɔ w̃
zasłużone	z a s w u ʐ ɔ n ɛ
zawrócił	z a v r u t͡ɕ i w
załapał	z a w a p a w
zaświadczenia	z a ɕ f j a t t͡ʂ ɛ ɲ a
zdobywamy	z d ɔ b ɘ v a m ɘ
zdrowotnym	z d r ɔ v ɔ t n ɘ m
zdycha	z d ɘ x a
zdziwieniem	z d͡ʑ i v j ɛ ɲ ɛ m
zgaśnie	z ɡ a ɕ ɲ ɛ
zgierzu	z ɡ j ɛ ʐ u
ziemska	ʑ ɛ m s k a
zlikwidowana	z l i k f i d ɔ v a n a
zmniejszona	z m ɲ ɛ j ʂ ɔ n a
znaczyły	z n a t͡ʂ ɘ w ɘ
zniosę	z ɲ ɔ s ɛ
zrobilo	z r ɔ b i l ɔ
zwróciłam	z v r u t͡ɕ i w a m
zwycięzcom	z v ɘ t͡ɕ ɛ n s t͡s ɔ m
złamałaś	z w a m a w a ɕ
śledziłam	ɕ l ɛ d͡ʑ i w a m
światopoglądu	ɕ f j a t ɔ p ɔ ɡ l ɔ n d u
alarmuje	a l a r m u j ɛ
alfy	a l f ɘ
amos	a m ɔ s
antenowego	a n t ɛ n ɔ v ɛ ɡ ɔ
argo	a r ɡ ɔ
ariane	a r j a n ɛ
arkuszy	a r k u ʂ ɘ
asteroid	a s t ɛ r ɔ i t
atlantyckie	a t l a n t ɘ t͡s k j ɛ
aus	a w s
austina	a w s t i n a
autobusowym	a w t ɔ b u s ɔ v ɘ m
avril	a v r i l
bankiera	b a ŋ k j ɛ r a
bazował	b a z ɔ v a w
bhutanu	b u t a n u
białaczki	b j a w a t͡ʂ k i
biletem	b i l ɛ t ɛ m
boleści	b ɔ l ɛ ɕ t͡ɕ i
bona	b ɔ n a
bronze	b r ɔ n z ɛ
brudów	b r u d u f
bundestagu	b u n d ɛ s t a ɡ u
bwa	b v a
bę	b ɛ
calowy	t͡s a l ɔ v ɘ
całowania	t͡s a w ɔ v a ɲ a
cegłę	t͡s ɛ ɡ w ɛ
charakterystycznej	x a r a k t ɛ r ɘ s t ɘ t͡ʂ n ɛ j
charytatywnym	x a r ɘ t a t ɘ v n ɘ m
choruję	x ɔ r u j ɛ
chrzestnego	x ʂ ɛ s t n ɛ ɡ ɔ
chwytają	x f ɘ t a j ɔ w̃
chávez	x a v ɛ s
chłopczyka	x w ɔ p t͡ʂ ɘ k a
cielesnych	t͡ɕ ɛ l ɛ s n ɘ x
cieszące	t͡ɕ ɛ ʂ ɔ n t͡s ɛ
crowley	k r ɔ v l ɛ j
cytowania	t͡s ɘ t ɔ v a ɲ a
czarnoskórzy	t͡ʂ a r n ɔ s k u ʐ ɘ
częstochowska	t͡ʂ ɛ n s t ɔ x ɔ f s k a
częstotliwościach	t͡ʂ ɛ n s t ɔ t l i v ɔ ɕ t͡ɕ a x
dawaniu	d a v a ɲ u
delfina	d ɛ l f i n a
demograficznego	d ɛ m ɔ ɡ r a f i t͡ʂ n ɛ ɡ ɔ
diagnostykę	d j a ɡ n ɔ s t ɘ k ɛ
doczekam	d ɔ t͡ʂ ɛ k a m
doktrynie	d ɔ k t r ɘ ɲ ɛ
donaldzie	d ɔ n a l d͡ʑ ɛ
dop	d ɔ p
dopasowania	d ɔ p a s ɔ v a ɲ a
dopisała	d ɔ p i s a w a
dostań	d ɔ s t a ɲ
dotknięta	d ɔ t k ɲ ɛ n t a
dotkną	d ɔ t k n ɔ w̃
dunlop	d u n l ɔ p
dworcowa	d v ɔ r t͡s ɔ v a
dzbany	d͡z b a n ɘ
dziedzicem	d͡ʑ ɛ d͡ʑ i t͡s ɛ m
dziedziczne	d͡ʑ ɛ d͡ʑ i t͡ʂ n ɛ
dziesiatki	d͡ʑ ɛ ɕ a t k i
dziesiątkach	d͡ʑ ɛ ɕ ɔ n t k a x
economy	ɛ t͡s ɔ n ɔ m ɘ
edi	ɛ d i
elektromagnetycznego	ɛ l ɛ k t r ɔ m a ɡ n ɛ t ɘ t͡ʂ n ɛ ɡ ɔ
endless	ɛ n d l ɛ s
eskadry	ɛ s k a d r ɘ
eskorty	ɛ s k ɔ r t ɘ
estate	ɛ s t a t ɛ
ewangelie	ɛ v a ŋ ɡ ɛ l j ɛ
ewentualna	ɛ v ɛ n t u a l n a
fance	f a n t͡s ɛ
farmaceutycznego	f a r m a t͡s ɛ w t ɘ t͡ʂ n ɛ ɡ ɔ
fascynacji	f a s t͡s ɘ n a t͡s j i
fifty	f i f t ɘ
fryzur	f r ɘ z u r
fukuoka	f u k u ɔ k a
gadała	ɡ a d a w a
gilberto	ɡ i l b ɛ r t ɔ
giles	ɡ i l ɛ s
gimnazjalne	ɡ i m n a z j a l n ɛ
ginekologii	ɡ i n ɛ k ɔ l ɔ ɡ j i
glik	ɡ l i k
glosuja	ɡ l ɔ s u j a
gombrowicza	ɡ ɔ m b r ɔ v i t͡ʂ a
gościnnego	ɡ ɔ ɕ t͡ɕ i n n ɛ ɡ ɔ
grającej	ɡ r a j ɔ n t͡s ɛ j
gromadząc	ɡ r ɔ m a d͡z ɔ n t͡s
grunwaldzka	ɡ r u n v a l t͡s k a
grzebie	ɡ ʐ ɛ b j ɛ
hampton	x a m p t ɔ n
hazel	x a z ɛ l
historyjek	x i s t ɔ r ɘ j ɛ k
hitlerowskich	x i t l ɛ r ɔ f s k i x
hondy	x ɔ n d ɘ
horrorze	x ɔ r r ɔ ʐ ɛ
hrubieszowie	x r u b j ɛ ʂ ɔ v j ɛ
imponująca	i m p ɔ n u j ɔ n t͡s a
irlandię	i r l a n d j ɛ
jeans	j ɛ a n s
jednostronne	j ɛ d n ɔ s t r ɔ n n ɛ
jeździło	j ɛ ʑ d͡ʑ i w ɔ
joanne	j ɔ a n n ɛ
jodu	j ɔ d u
jong	j ɔ ŋ k
juncker	j u n t͡s k ɛ r
jános	j a n ɔ s
jęki	j ɛ ŋ k i
kaman	k a m a n
kandydatur	k a n d ɘ d a t u r
kanoniczne	k a n ɔ ɲ i t͡ʂ n ɛ
kasprzaka	k a s p ʂ a k a
katalogów	k a t a l ɔ ɡ u f
kevinem	k ɛ v i n ɛ m
klapsa	k l a p s a
klauzul	k l a w z u l
klauzulą	k l a w z u l ɔ w̃
kolczyków	k ɔ l t͡ʂ ɘ k u f
komiksowa	k ɔ m i k s ɔ v a
konwencie	k ɔ n v ɛ n t͡ɕ ɛ
korporacjach	k ɔ r p ɔ r a t͡s j a x
kryształową	k r ɘ ʂ t a w ɔ v ɔ w̃
krążące	k r ɔ n ʐ ɔ n t͡s ɛ
ksiazke	k ɕ a s k ɛ
kształtach	k ʂ t a w t a x
kulminacyjny	k u l m i n a t͡s ɘ j n ɘ
kupiły	k u p i w ɘ
kupowane	k u p ɔ v a n ɛ
kusząca	k u ʂ ɔ n t͡s a
kwalifikacyjnych	k f a l i f i k a t͡s ɘ j n ɘ x
kwalifikacyjną	k f a l i f i k a t͡s ɘ j n ɔ w̃
kwantowa	k f a n t ɔ v a
kwestionują	k f ɛ s t j ɔ n u j ɔ w̃
kę	k ɛ
leandro	l ɛ a n d r ɔ
legalizację	l ɛ ɡ a l i z a t͡s j ɛ
legislacji	l ɛ ɡ i s l a t͡s j i
leżącą	l ɛ ʐ ɔ n t͡s ɔ w̃
licealiści	l i t͡s ɛ a l i ɕ t͡ɕ i
licealnych	l i t͡s ɛ a l n ɘ x
lilie	l i l j ɛ
linkedin	l i ŋ k ɛ d i n
lubina	l u b i n a
luigi	l u i ɡ i
luksusowa	l u k s u s ɔ v a
magika	m a ɡ i k a
mapka	m a p k a
meczami	m ɛ t͡ʂ a m i
metodyki	m ɛ t ɔ d ɘ k i
miernoty	m j ɛ r n ɔ t ɘ
mierząc	m j ɛ ʐ ɔ n t͡s
mille	m i l l ɛ
molekularnej	m ɔ l ɛ k u l a r n ɛ j
musialem	m u ɕ a l ɛ m
naczyniowych	n a t͡ʂ ɘ ɲ ɔ v ɘ x
nadające	n a d a j ɔ n t͡s ɛ
nagrywany	n a ɡ r ɘ v a n ɘ
najwspanialszą	n a j f s p a ɲ a l ʂ ɔ w̃
nalocie	n a l ɔ t͡ɕ ɛ
nalotem	n a l ɔ t ɛ m
naprawic	n a p r a v i t͡s
napędowych	n a p ɛ n d ɔ v ɘ x
narkomanów	n a r k ɔ m a n u f
narkotykowym	n a r k ɔ t ɘ k ɔ v ɘ m
narodziło	n a r ɔ d͡ʑ i w ɔ
narratorem	n a r r a t ɔ r ɛ m
nazewnictwa	n a z ɛ v ɲ i t͡s t f a
negocjował	n ɛ ɡ ɔ t͡s j ɔ v a w
nielegalni	ɲ ɛ l ɛ ɡ a l ɲ i
niemieckojęzycznej	ɲ ɛ m j ɛ t͡s k ɔ j ɛ n z ɘ t͡ʂ n ɛ j
niemozliwe	ɲ ɛ m ɔ z l i v ɛ
nienawisci	ɲ ɛ n a v i s t͡ɕ i
nieobecna	ɲ ɛ ɔ b ɛ t͡s n a
niepełnosprawna	ɲ ɛ p ɛ w n ɔ s p r a v n a
nietypowego	ɲ ɛ t ɘ p ɔ v ɛ ɡ ɔ
nieświadomych	ɲ ɛ ɕ f j a d ɔ m ɘ x
notę	n ɔ t ɛ
nous	n ɔ u s
nude	n u d ɛ
nuevo	n u ɛ v ɔ
nvidia	n v i d j a
obręczy	ɔ b r ɛ n t͡ʂ ɘ
obsługiwany	ɔ p s w u ɡ i v a n ɘ
ochrania	ɔ x r a ɲ a
odbiorników	ɔ d b j ɔ r ɲ i k u f
odbywającej	ɔ d b ɘ v a j ɔ n t͡s ɛ j
oddzielna	ɔ d d͡ʑ ɛ l n a
odebraniem	ɔ d ɛ b r a ɲ ɛ m
odgłosów	ɔ d ɡ w ɔ s u f
odkładając	ɔ t k w a d a j ɔ n t͡s
odnosili	ɔ d n ɔ ɕ i l i
odpadło	ɔ t p a d w ɔ
odpowiedzialnymi	ɔ t p ɔ v j ɛ d͡ʑ a l n ɘ m i
odpowiemy	ɔ t p ɔ v j ɛ m ɘ
odwrotnym	ɔ d v r ɔ t n ɘ m
odłączenie	ɔ d w ɔ n t͡ʂ ɛ ɲ ɛ
oficerskiej	ɔ f i t͡s ɛ r s k j ɛ j
oglądaniem	ɔ ɡ l ɔ n d a ɲ ɛ m
okazywania	ɔ k a z ɘ v a ɲ a
okradli	ɔ k r a d l i
opłatami	ɔ p w a t a m i
opłatkiem	ɔ p w a t k j ɛ m
osiągalne	ɔ ɕ ɔ ŋ ɡ a l n ɛ
osiągnę	ɔ ɕ ɔ ŋ ɡ n ɛ
paczke	p a t͡ʂ k ɛ
pajace	p a j a t͡s ɛ
papieskim	p a p j ɛ s k i m
papryczki	p a p r ɘ t͡ʂ k i
paragonu	p a r a ɡ ɔ n u
paragrafy	p a r a ɡ r a f ɘ
paraliżu	p a r a l i ʐ u
parkietu	p a r k j ɛ t u
paryżem	p a r ɘ ʐ ɛ m
paszporcie	p a ʂ p ɔ r t͡ɕ ɛ
patoli	p a t ɔ l i
patriarchatu	p a t r j a r x a t u
pena	p ɛ n a
pijanemu	p i j a n ɛ m u
pisarzami	p i s a ʐ a m i
pisowską	p i s ɔ f s k ɔ w̃
placic	p l a t͡ɕ i t͡s
plastyczna	p l a s t ɘ t͡ʂ n a
plastycznym	p l a s t ɘ t͡ʂ n ɘ m
plays	p l ɛ j s
pochowane	p ɔ x ɔ v a n ɛ
pocket	p ɔ t͡s k ɛ t
poczytałem	p ɔ t͡ʂ ɘ t a w ɛ m
podejmowano	p ɔ d ɛ j m ɔ v a n ɔ
podkłada	p ɔ t k w a d a
podkładki	p ɔ t k w a t k i
podnoszone	p ɔ d n ɔ ʂ ɔ n ɛ
podporządkowanie	p ɔ t p ɔ ʐ ɔ n t k ɔ v a ɲ ɛ
podziwiania	p ɔ d͡ʑ i v j a ɲ a
pojętej	p ɔ j ɛ n t ɛ j
pominięto	p ɔ m i ɲ ɛ n t ɔ
popiełuszko	p ɔ p j ɛ w u ʂ k ɔ
poprosze	p ɔ p r ɔ ʂ ɛ
poruszany	p ɔ r u ʂ a n ɘ
porwane	p ɔ r v a n ɛ
posadził	p ɔ s a d͡ʑ i w
posterunki	p ɔ s t ɛ r u ŋ k i
poszkodowane	p ɔ ʂ k ɔ d ɔ v a n ɛ
potworne	p ɔ t f ɔ r n ɛ
poukładane	p ɔ u k w a d a n ɛ
połączą	p ɔ w ɔ n t͡ʂ ɔ w̃
produkcyjnego	p r ɔ d u k t͡s ɘ j n ɛ ɡ ɔ
produkcyjną	p r ɔ d u k t͡s ɘ j n ɔ w̃
profesjonalnymi	p r ɔ f ɛ s j ɔ n a l n ɘ m i
progresywnego	p r ɔ ɡ r ɛ s ɘ v n ɛ ɡ ɔ
projektowych	p r ɔ j ɛ k t ɔ v ɘ x
protein	p r ɔ t ɛ i n
protezy	p r ɔ t ɛ z ɘ
przejmujcie	p ʂ ɛ j m u j t͡ɕ ɛ
przelotów	p ʂ ɛ l ɔ t u f
przenoszeniu	p ʂ ɛ n ɔ ʂ ɛ ɲ u
przeradza	p ʂ ɛ r a d͡z a
przestępcze	p ʂ ɛ s t ɛ m p t͡ʂ ɛ
przesyłają	p ʂ ɛ s ɘ w a j ɔ w̃
przesyłając	p ʂ ɛ s ɘ w a j ɔ n t͡s
przesłane	p ʂ ɛ s w a n ɛ
przewinęło	p ʂ ɛ v i n ɛ w ɔ
prześladowaniami	p ʂ ɛ ɕ l a d ɔ v a ɲ a m i
przychodziła	p ʂ ɘ x ɔ d͡ʑ i w a
przyczynią	p ʂ ɘ t͡ʂ ɘ ɲ ɔ w̃
przydałyby	p ʂ ɘ d a w ɘ b ɘ
przypadają	p ʂ ɘ p a d a j ɔ w̃
przypomniałeś	p ʂ ɘ p ɔ m ɲ a w ɛ ɕ
przywrócona	p ʂ ɘ v r u t͡s ɔ n a
przyznawał	p ʂ ɘ z n a v a w
przyłączy	p ʂ ɘ w ɔ n t͡ʂ ɘ
przyłębska	p ʂ ɘ w ɛ m p s k a
próbnym	p r u b n ɘ m
pł	p w
płonące	p w ɔ n ɔ n t͡s ɛ
płynnych	p w ɘ n n ɘ x
rabusiów	r a b u ɕ u f
ranger	r a ŋ ɡ ɛ r
rasizmie	r a ɕ i z m j ɛ
regulowana	r ɛ ɡ u l ɔ v a n a
rejestrując	r ɛ j ɛ s t r u j ɔ n t͡s
remontowych	r ɛ m ɔ n t ɔ v ɘ x
reputacją	r ɛ p u t a t͡s j ɔ w̃
rezerwacje	r ɛ z ɛ r v a t͡s j ɛ
robinsona	r ɔ b i n s ɔ n a
rozmachu	r ɔ z m a x u
rozmaitymi	r ɔ z m a i t ɘ m i
rozmowami	r ɔ z m ɔ v a m i
rozruchów	r ɔ z r u x u f
rozrzucone	r ɔ z ʐ u t͡s ɔ n ɛ
roślinnej	r ɔ ɕ l i n n ɛ j
rutyny	r u t ɘ n ɘ
rzuciły	ʐ u t͡ɕ i w ɘ
różnorodnym	r u ʐ n ɔ r ɔ d n ɘ m
rękojeści	r ɛ ŋ k ɔ j ɛ ɕ t͡ɕ i
sabiny	s a b i n ɘ
sauny	s a w n ɘ
saying	s a j i ŋ k
scenerii	s t͡s ɛ n ɛ r j i
segmenty	s ɛ ɡ m ɛ n t ɘ
seksowną	s ɛ k s ɔ v n ɔ w̃
selektywnie	s ɛ l ɛ k t ɘ v ɲ ɛ
sentymentu	s ɛ n t ɘ m ɛ n t u
shooter	ʂ u t ɛ r
sick	ɕ i t͡s k
sięgnąłem	ɕ ɛ ŋ ɡ n ɔ w ɛ m
skorzystało	s k ɔ ʐ ɘ s t a w ɔ
skróconą	s k r u t͡s ɔ n ɔ w̃
skórne	s k u r n ɛ
skórzana	s k u ʐ a n a
składnikami	s k w a d ɲ i k a m i
sleeping	s l i p i ŋ k
socjologiczne	s ɔ t͡s j ɔ l ɔ ɡ i t͡ʂ n ɛ
solidarni	s ɔ l i d a r ɲ i
spożytkować	s p ɔ ʐ ɘ t k ɔ v a t͡ɕ
sprawiedliwym	s p r a v j ɛ d l i v ɘ m
sprawniej	s p r a v ɲ ɛ j
sprzyjał	s p ʂ ɘ j a w
spłaci	s p w a t͡ɕ i
stanisławem	s t a ɲ i s w a v ɛ m
stanowiącą	s t a n ɔ v j ɔ n t͡s ɔ w̃
starka	s t a r k a
started	s t a r t ɛ t
starówki	s t a r u f k i
statystycznej	s t a t ɘ s t ɘ t͡ʂ n ɛ j
stronce	s t r ɔ n t͡s ɛ
stronników	s t r ɔ n ɲ i k u f
studyjnych	s t u d ɘ j n ɘ x
stwierdziły	s t f j ɛ r d͡ʑ i w ɘ
stylowo	s t ɘ l ɔ v ɔ
sugerujące	s u ɡ ɛ r u j ɔ n t͡s ɛ
swiadczy	s f j a t t͡ʂ ɘ
syndykatu	s ɘ n d ɘ k a t u
sytuacjami	s ɘ t u a t͡s j a m i
szable	ʂ a b l ɛ
szacie	ʂ a t͡ɕ ɛ
szacunkowe	ʂ a t͡s u ŋ k ɔ v ɛ
szkodliwymi	ʂ k ɔ d l i v ɘ m i
słuchaniem	s w u x a ɲ ɛ m
służbowego	s w u ʐ b ɔ v ɛ ɡ ɔ
tabelki	t a b ɛ l k i
tapecie	t a p ɛ t͡ɕ ɛ
technolog	t ɛ x n ɔ l ɔ k
technologiczną	t ɛ x n ɔ l ɔ ɡ i t͡ʂ n ɔ w̃
teg	t ɛ k
terrorystycznej	t ɛ r r ɔ r ɘ s t ɘ t͡ʂ n ɛ j
testowałem	t ɛ s t ɔ v a w ɛ m
tja	t j a
told	t ɔ l t
towarowej	t ɔ v a r ɔ v ɛ j
transportowa	t r a n s p ɔ r t ɔ v a
trendami	t r ɛ n d a m i
trenują	t r ɛ n u j ɔ w̃
trwałej	t r f a w ɛ j
tweetami	t f i t a m i
twitterowe	t f i t t ɛ r ɔ v ɛ
tętnice	t ɛ n t ɲ i t͡s ɛ
ubranego	u b r a n ɛ ɡ ɔ
uczelniami	u t͡ʂ ɛ l ɲ a m i
uczyło	u t͡ʂ ɘ w ɔ
udałem	u d a w ɛ m
układam	u k w a d a m
underwood	u n d ɛ r v u t
uniwersjady	u ɲ i v ɛ r s j a d ɘ
upoważnione	u p ɔ v a ʐ ɲ ɔ n ɛ
upośledzone	u p ɔ ɕ l ɛ d͡z ɔ n ɛ
uprawnia	u p r a v ɲ a
uslug	u s l u k
ustaleniami	u s t a l ɛ ɲ a m i
uszkadzając	u ʂ k a d͡z a j ɔ n t͡s
ut	u t
utrwalania	u t r f a l a ɲ a
utrzymali	u t ʂ ɘ m a l i
uwięzi	u v j ɛ w̃ ʑ i
uśmiechniętych	u ɕ m j ɛ x ɲ ɛ n t ɘ x
użyjemy	u ʐ ɘ j ɛ m ɘ
wants	v a n t s
wazny	v a z n ɘ
wezme	v ɛ z m ɛ
wielkanocnej	v j ɛ l k a n ɔ t͡s n ɛ j
wikimedia	v i k i m ɛ d j a
wilgotna	v i l ɡ ɔ t n a
więziennictwa	v j ɛ w̃ ʑ ɛ n ɲ i t͡s t f a
wolontariuszem	v ɔ l ɔ n t a r j u ʂ ɛ m
wprowadzany	f p r ɔ v a d͡z a n ɘ
wpuszczą	f p u ʂ t͡ʂ ɔ w̃
wpływowe	f p w ɘ v ɔ v ɛ
wrobiony	v r ɔ b j ɔ n ɘ
wschodnio	f s x ɔ d ɲ ɔ
wspólnikiem	f s p u l ɲ i k j ɛ m
wstydził	f s t ɘ d͡ʑ i w
wybrałbym	v ɘ b r a w b ɘ m
wydac	v ɘ d a t͡s
wydzielania	v ɘ d͡ʑ ɛ l a ɲ a
wygodnego	v ɘ ɡ ɔ d n ɛ ɡ ɔ
wyjscia	v ɘ j s t͡ɕ a
wykazu	v ɘ k a z u
wykonamy	v ɘ k ɔ n a m ɘ
wykupili	v ɘ k u p i l i
wymyślam	v ɘ m ɘ ɕ l a m
wyruszyły	v ɘ r u ʂ ɘ w ɘ
wyspecjalizowane	v ɘ s p ɛ t͡s j a l i z ɔ v a n ɛ
wysłuchanie	v ɘ s w u x a ɲ ɛ
wyzdrowiał	v ɘ z d r ɔ v j a w
wyzywał	v ɘ z ɘ v a w
wyścigowym	v ɘ ɕ t͡ɕ i ɡ ɔ v ɘ m
własnościowych	v w a s n ɔ ɕ t͡ɕ ɔ v ɘ x
zaakceptowanie	z a a k t͡s ɛ p t ɔ v a ɲ ɛ
zabitym	z a b i t ɘ m
zablokuj	z a b l ɔ k u j
zakazowi	z a k a z ɔ v i
zakochałaś	z a k ɔ x a w a ɕ
zanadrzu	z a n a d ʐ u
zandberg	z a n d b ɛ r k
zapewniono	z a p ɛ v ɲ ɔ n ɔ
zaprojektowanej	z a p r ɔ j ɛ k t ɔ v a n ɛ j
zarządzają	z a ʐ ɔ n d͡z a j ɔ w̃
zastępczą	z a s t ɛ m p t͡ʂ ɔ w̃
zasugerowała	z a s u ɡ ɛ r ɔ v a w a
zasługiwała	z a s w u ɡ i v a w a
zatrzymujemy	z a t ʂ ɘ m u j ɛ m ɘ
zawodowcy	z a v ɔ d ɔ f t͡s ɘ
zaznaczenia	z a z n a t͡ʂ ɛ ɲ a
załączniku	z a w ɔ n t͡ʂ ɲ i k u
zaświatów	z a ɕ f j a t u f
zbada	z b a d a
zbrodniarza	z b r ɔ d ɲ a ʐ a
zdecydowanego	z d ɛ t͡s ɘ d ɔ v a n ɛ ɡ ɔ
zdziwiłbym	z d͡ʑ i v i w b ɘ m
zespołowe	z ɛ s p ɔ w ɔ v ɛ
zgwałcili	z ɡ v a w t͡ɕ i l i
zgłosiły	z ɡ w ɔ ɕ i w ɘ
zjesc	z j ɛ s t͡s
zmodyfikowanych	z m ɔ d ɘ f i k ɔ v a n ɘ x
znudzona	z n u d͡z ɔ n a
zoran	z ɔ r a n
zrobilam	z r ɔ b i l a m
zuckerberg	z u t͡s k ɛ r b ɛ r k
związkowe	z v j ɔ n s k ɔ v ɛ
związkowych	z v j ɔ n s k ɔ v ɘ x
zx	z ɛ k s
zyskania	z ɘ s k a ɲ a
śledczą	ɕ l ɛ t t͡ʂ ɔ w̃
ślimaków	ɕ l i m a k u f
średniowiecznego	ɕ r ɛ d ɲ ɔ v j ɛ t͡ʂ n ɛ ɡ ɔ
środkom	ɕ r ɔ t k ɔ m
światłości	ɕ f j a t w ɔ ɕ t͡ɕ i
żółtka	ʐ u w t k a
ady	a d ɘ
aktualizowany	a k t u a l i z ɔ v a n ɘ
aktywizacji	a k t ɘ v i z a t͡s j i
algierze	a l ɡ j ɛ ʐ ɛ
among	a m ɔ ŋ k
analogowe	a n a l ɔ ɡ ɔ v ɛ
antycznych	a n t ɘ t͡ʂ n ɘ x
antykomunistycznego	a n t ɘ k ɔ m u ɲ i s t ɘ t͡ʂ n ɛ ɡ ɔ
anwar	a n v a r
architektoniczna	a r x i t ɛ k t ɔ ɲ i t͡ʂ n a
artem	a r t ɛ m
arturem	a r t u r ɛ m
asunción	a s u n t͡ɕ u n
atakowana	a t a k ɔ v a n a
austen	a w s t ɛ n
avery	a v ɛ r ɘ
ax	a k s
badacza	b a d a t͡ʂ a
bananami	b a n a n a m i
bananowe	b a n a n ɔ v ɛ
bebe	b ɛ b ɛ
bedford	b ɛ t f ɔ r t
berta	b ɛ r t a
bezużyteczna	b ɛ z u ʐ ɘ t ɛ t͡ʂ n a
bezwzględnej	b ɛ z v z ɡ l ɛ n d n ɛ j
bianca	b j a n t͡s a
bibliotekarzy	b i b l j ɔ t ɛ k a ʐ ɘ
biernej	b j ɛ r n ɛ j
biznesy	b i z n ɛ s ɘ
blachę	b l a x ɛ
bliźniacy	b l i ʑ ɲ a t͡s ɘ
boca	b ɔ t͡s a
budzika	b u d͡ʑ i k a
bugiem	b u ɡ j ɛ m
caps	t͡s a p s
carvalho	t͡s a r v a l x ɔ
całusa	t͡s a w u s a
char	x a r
chałupy	x a w u p ɘ
chef	x ɛ f
chocby	x ɔ d͡z b ɘ
chuliganów	x u l i ɡ a n u f
chwilówki	x f i l u f k i
ciałka	t͡ɕ a w k a
clip	t͡s l i p
codziennymi	t͡s ɔ d͡ʑ ɛ n n ɘ m i
cofamy	t͡s ɔ f a m ɘ
crane	t͡s r a n ɛ
crow	t͡s r ɔ f
cum	t͡s u m
cwelu	t͡s f ɛ l u
cywilizowanych	t͡s ɘ v i l i z ɔ v a n ɘ x
czekoladowego	t͡ʂ ɛ k ɔ l a d ɔ v ɛ ɡ ɔ
czubka	t͡ʂ u p k a
częsci	t͡ʂ ɛ n s t͡ɕ i
darko	d a r k ɔ
daruję	d a r u j ɛ
detalicznej	d ɛ t a l i t͡ʂ n ɛ j
dillon	d i l ɔ n
dluga	d l u ɡ a
domownicy	d ɔ m ɔ v ɲ i t͡s ɘ
domyśleć	d ɔ m ɘ ɕ l ɛ t͡ɕ
dorastaliśmy	d ɔ r a s t a l i ɕ m ɘ
dostaja	d ɔ s t a j a
dostajecie	d ɔ s t a j ɛ t͡ɕ ɛ
dow	d ɔ f
dowodowego	d ɔ v ɔ d ɔ v ɛ ɡ ɔ
dołączony	d ɔ w ɔ n t͡ʂ ɔ n ɘ
dyskotekę	d ɘ s k ɔ t ɛ k ɛ
dziurami	d͡ʑ u r a m i
each	ɛ a x
eddiego	ɛ d d j ɛ ɡ ɔ
ekstremalnej	ɛ k s t r ɛ m a l n ɛ j
elitarnych	ɛ l i t a r n ɘ x
emeryturą	ɛ m ɛ r ɘ t u r ɔ w̃
emigracyjnych	ɛ m i ɡ r a t͡s ɘ j n ɘ x
eskadra	ɛ s k a d r a
europosła	ɛ w r ɔ p ɔ s w a
fate	f a t ɛ
favorite	f a v ɔ r i t ɛ
fikcyjnego	f i k t͡s ɘ j n ɛ ɡ ɔ
filmowcy	f i l m ɔ f t͡s ɘ
fiskalnej	f i s k a l n ɛ j
flasha	f l a ʂ a
florę	f l ɔ r ɛ
foods	f u t s
fuji	f u j i
garza	ɡ a ʐ a
geniuszy	ɡ ɛ ɲ u ʂ ɘ
gigantycznej	ɡ i ɡ a n t ɘ t͡ʂ n ɛ j
glosuje	ɡ l ɔ s u j ɛ
gogha	ɡ ɔ ɡ a
graficy	ɡ r a f i t͡s ɘ
gruzów	ɡ r u z u f
gwałtownej	ɡ v a w t ɔ v n ɛ j
głupki	ɡ w u p k i
głębszej	ɡ w ɛ m p ʂ ɛ j
haley	x a l ɛ j
harrisona	x a r r i s ɔ n a
hitlerowi	x i t l ɛ r ɔ v i
hitlerowskie	x i t l ɛ r ɔ f s k j ɛ
hobbita	x ɔ b b i t a
homera	x ɔ m ɛ r a
humanitarna	x u m a ɲ i t a r n a
hun	x u n
infanta	i n f a n t a
inscenizacji	i n s t͡s ɛ ɲ i z a t͡s j i
inspekcję	i n s p ɛ k t͡s j ɛ
instituto	i n s t i t u t ɔ
